id,name,lat,lon
C32016,W Broadway at Dorchester St,42.33596,-71.04623
C32017,South Boston Library - 646 E Broadway,42.33574,-71.03877
C32018,E Cottage St at Columbia Rd,42.32056,-71.06198
C32019,Uphams Corner,42.31727,-71.06537
C32020,ID Building East,42.34483,-71.02866
C32021,ID Building West,42.3448,-71.03161
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.3266,-71.0665
C32023,Murphy Skating Rink - 1880 Day Blvd,42.33645,-71.02374
C32024,State Street at Channel Center,42.34414,-71.05261
C32025,Ink Block - Harrison Ave at Herald St,42.3459,-71.06319
C32026,Au Bon Pain Way at Fid Kennedy Ave,42.3461,-71.0292
C32027,Franklin Park - Seaver St at Humboldt Ave,42.3098,-71.09222
C32028,The Lawn on D,42.34479,-71.04402
C32029,W Broadway at D St,42.33911,-71.05144
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.30347,-71.08535
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.31764,-71.05666
C32032,Congress St at Northern Ave,42.3481,-71.03764
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.35159,-71.04569
C32035,Troy Boston,42.34375,-71.06226
C32036,Seaport Blvd at Sleeper St,42.35318,-71.04817
C32037,Four Corners - 157 Washington St,42.30413,-71.0793
C32038,Washington St at Talbot Ave,42.29033,-71.07181
C32039,Park St at Norwell St,42.29443,-71.07822
C32040,Gallivan Blvd at Adams St,42.28298,-71.05467
C32041,Fields Corner T Stop,42.29963,-71.06069
C32042,Washington St at Bowdoin St,42.29916,-71.07346
C32043,Talbot Ave At Blue Hill Ave,42.29458,-71.08711
C32044,Blue Hill Ave at Almont St,42.27462,-71.09373
C32045,Mattapan T Stop,42.2679,-71.09364
C32046,Roslindale Village - Washington St,42.28631,-71.12821
C32047,Roslindale Village - South St,42.28707,-71.12775
C32048,Archdale Rd at Washington St,42.29267,-71.1212
C32049,Thetford Ave at Norfolk St,42.28621,-71.07943
C32050,Mattapan Library,42.27739,-71.09325
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495
C32052,Columbia Rd at Tierney Community Center,42.33023,-71.0506
C32053,Broadway T Stop,42.34305,-71.05803
C32054,Shawmut Ave at Herald St,42.34665,-71.06605
C32055,Codman Square Library,42.28736,-71.07111
C32056,Tremont St at Northampton St,42.33843,-71.08169
C32057,Harrison Ave at Mullins Way,42.34522,-71.06384
C32059,Belgrade Ave at Walworth St,42.28635,-71.13672
C32060,Tremont St at W. Dedham St,42.34255,-71.07421
C32061,Albany St at E. Brookline St,42.33665,-71.06894
C32062,Ashmont T Stop,42.28569,-71.06414
C32063,Mass Ave T Station,42.34136,-71.08337
C32064,Sydney St at Carson St,42.32039,-71.05355
C32065,Adams St at Mallet St.,42.29089,-71.05675
C32066,Dorchester Ave at King St,42.29172,-71.06257
C32067,Washington St at Peters Park,42.34296,-71.06705
C32068,Northampton St at Fellows St,42.33359,-71.07519
C32069,Damrell St at Old Colony,42.33248,-71.05424
C32070,300 Summer St,42.34977,-71.049
C32071,Northern Ave at Haul Rd,42.34718,-71.0358
C32072,Washington St at Northampton St,42.33626,-71.07756
C32073,Walk Hill St at American Legion,42.28802,-71.10731
C32074,Harambee Park - Westview St at Blue Hill Ave,42.29126,-71.08867
C32075,Huntington Ave at Exeter St,42.34786,-71.07895
C32076,Warren Ave at Dartmouth St,42.34431,-71.07403
C32077,Columbus Ave at W. Canton St,42.34474,-71.07648
C32078,Northbourne Rd at Hyde Park Ave,42.29118,-71.11774
C32079,American Legion Hwy at Cummins Hwy,42.27881,-71.11688
C32080,Mt. Hope St at Hyde Park Ave,42.28484,-71.11875
C32081,Washington St at Denton Terr,42.28073,-71.13424
C32082,Bike Town at Moakley Park,42.32586,-71.04914
C32083,Washington St at Walsh Playground,42.27719,-71.06956
C32084,Washington St at Fuller St,42.28199,-71.07148
C32085,Centre St at W. Roxbury Post Office,42.28633,-71.15345
C32086,Centre St at Parkway YMCA,42.28278,-71.15729
C32087,Spring St at Powell St,42.27748,-71.16341
C32088,Central Ave at River St,42.27095,-71.07338
C32089,Hyde Park Ave at Walk Hill St,42.29607,-71.11601
C32090,Geiger Gibson Community Health Center,42.31886,-71.04537
C32091,645 Summer St,42.34178,-71.03987
C32092,Blue Hill Ave at Havelock St,42.28601,-71.09099
C32093,Harrison Ave at E. Dedham St,42.33919,-71.06975
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095
