station_id,name,lat,lng,present_years,present_months
4101.18,President St & 4 Ave,40.676660243631495,-73.98327781669718,2026,2026-07
4110.1,3 St & Hoyt St,40.6777287,-73.99364123,2025,2025-01;2025-02;2025-03;2025-04;2025-05
4184.07,Carroll St & Bond St,40.6786115,-73.99037292,2026,2026-07
4199.13,Carlton Ave & St Marks Ave,40.67911856082165,-73.97176265716553,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
4461.07,Waverly Ave & Lafayette Ave,40.688231,-73.966804,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08
4488.08,Court St & State St,40.6902375,-73.99203074,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09
4590.01,Soissons Landing,40.69231660719192,-74.01486575603485,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06
4645.09,Hicks St & Montague St,40.69512845,-73.99595065,2025,2025-01
4801.04,Melrose St & Broadway,40.697481,-73.935877,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10
4801.1,Arion Pl & Broadway,40.697891,-73.936642,2026,2026-06
4804.03,Flushing Ave & Clermont Ave,40.69804052908624,-73.97148517679594,2026,2026-05;2026-06;2026-07
4956.02,Humboldt St & Varet St,40.7031724,-73.940636,2025,2025-01;2025-02;2025-03;2025-04;2025-05
5065.04,John St & William St,40.70862144,-74.00722156,2026,2026-03;2026-04;2026-05;2026-06;2026-07
5073.08,Greenwich St & Rector St,40.708351,-74.013493,2026,2026-05;2026-06;2026-07
5256.06,Vesey St & West St,40.714063,-74.014432,2026,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
5283.02,78 Ave & Queens Blvd S,40.7149,-73.83247,2026,2026-07
5324.03,Austin St & 76 Ave,40.71612,-73.83735,2026,2026-07
5329.09,Murray St & West St (NW Corner),40.715438,-74.014077,2026,2026-07
5348.02,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07
5348.06_old,Kent Ave & N 3 St,40.7188,-73.961,2025,2025-09
5348.1,Grand St & Wythe Ave,40.71575,-73.96433,2026,2026-03;2026-05;2026-06;2026-07
5348.10,Grand St & Wythe Ave,40.71575,-73.96433,2026,2026-03;2026-04;2026-05;2026-06;2026-07
5355.06,Queens Blvd N & 78 Ave,40.71532,-73.83226,2026,2026-07
5395.08,Queens Blvd S & 76 Rd,40.7172,-73.83524,2026,2026-07
5434.07,Queens Blvd N & 72 Rd,40.7202,-73.84044,2026,2026-06;2026-07
5434.08,Queens Blvd N & 75 Ave,40.71894,-73.8377,2026,2026-07
5443.02,Austin St & 70 Rd,40.72047,-73.84576,2026,2026-06;2026-07
5474.06,Queens Blvd N & 71 Ave,40.72144,-73.84363,2026,2026-06;2026-07
5500.07,6 Ave & Canal St,40.72243797,-74.00566443,2025,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06
5504.05,72 Rd & 113 St,40.7213,-73.8371,2026,2026-07
5513.11,Queens Blvd S & 71 Ave,40.72146,-73.84431,2026,2026-06;2026-07
5543.03,71 Ave & 110 St,40.72232,-73.8417,2026,2026-06;2026-07
5543.05,70 Rd & 112 St,40.72371,-73.83959,2026,2026-07
5551.12,69 Ave & Queens Blvd N,40.72398,-73.84872,2026,2026-06;2026-07
5551.14,Queens Blvd S & Yellowstone Blvd,40.72261,-73.84721,2026,2026-06;2026-07
5561.08,Lafayette St & Jersey St,40.72430527,-73.99600983,2026,2026-07
5582.06,108 St & Jewel Ave,40.72374,-73.8448,2026,2026-06;2026-07
5591.08,Booth St & 68 Dr,40.72392,-73.85102,2026,2026-06;2026-07
5600.01,Austin St & 66 Ave,40.72499,-73.85787,2026,2026-06;2026-07
5614.03,113 St & Jewel Ave,40.72521,-73.83928,2026,2026-06;2026-07
5634.01,67 Ave & Queens Blvd S,40.72672,-73.85393,2026,2026-06;2026-07
5634.03,Queens Blvd N & 67 Rd,40.72667,-73.85223,2026,2026-06;2026-07
5657.06,68 Dr & 112 St,40.72704,-73.84128,2026,2026-06;2026-07
5667.03,Yellowstone Blvd & 67 Rd,40.72782,-73.84924,2026,2026-06;2026-07
5667.08,Yellowstone Blvd & 68 Ave,40.7263,-73.84841,2026,2026-06;2026-07
5677.04,Queens Blvd S & 65 Rd,40.72853,-73.85832,2026,2026-06;2026-07
5685.06,Austin St & 63 Dr,40.7273,-73.86398,2026,2026-06;2026-07
5701.01,110 St & 68 Ave,40.72774,-73.84429,2026,2026-06;2026-07
5710.04,66 Rd & 102 St,40.72849,-73.85187,2026,2026-06;2026-07
5712.10,Lafayette St & Astor Pl,40.729738,-73.991618,2026,2026-07
5744.07,108 St & 66 Rd,40.72951,-73.84794,2026,2026-06;2026-07
5753.02,99 St & 65 Rd,40.72903,-73.85536,2026,2026-06;2026-07
5761.05,Queens Blvd N & 63 Rd,40.73016,-73.86207,2026,2026-06;2026-07
5761.06,63 Dr & Booth St,40.72857,-73.86342,2026,2026-06;2026-07
5777.03,112 St & 67 Rd,40.72955,-73.84263,2026,2026-06;2026-07
5786.02,Yellowstone Blvd & 65 Ave,40.73103,-73.85128,2026,2026-06;2026-07
5795.07,98 St & 64 Rd,40.72973,-73.85817,2026,2026-06;2026-07
5803.03,62 Ave & Queens Blvd,40.73161,-73.8669,2026,2026-06;2026-07
5818.07,110 St & 66 Rd,40.73017,-73.84568,2026,2026-06;2026-07
5827.01,63 Dr & 102 St,40.73244,-73.85404,2026,2026-06;2026-07
5836.08,62 Dr & 97 St,40.73236,-73.86256,2026,2026-06;2026-07
5836.09,62 Dr & 97 Pl,40.73282,-73.86065,2026,2026-06;2026-07
5847.1,Greenwich St & Christopher St,40.7326,-74.00767,2026,2026-07
5847.10,Greenwich St & Christopher St,40.7326,-74.00767,2026,2026-07
5861.04,64 Ave & 108 St,40.73305,-73.84942,2026,2026-06;2026-07
