match_id,name,home_team,away_team,round,venue,kickoff_date,kickoff_time,kickoff_hour,kickoff_datetime,utc_kickoff,r16plus,is_metlife,usa,home_score,away_score
537367,New Zealand vs Belgium,New Zealand,Belgium,Group G,"BC Place, Vancouver",2026-06-26,23:00,23,2026-06-26 23:00:00,2026-06-27T03:00:00Z,0,0,0,1,5
537368,Egypt vs Iran,Egypt,Iran,Group G,"Lumen Field, Seattle",2026-06-26,23:00,23,2026-06-26 23:00:00,2026-06-27T03:00:00Z,0,0,0,1,1
537413,Panama vs England,Panama,England,Group L,"MetLife Stadium, East Rutherford (New York/New Jersey)",2026-06-27,17:00,17,2026-06-27 17:00:00,2026-06-27T21:00:00Z,0,1,0,0,2
537414,Croatia vs Ghana,Croatia,Ghana,Group L,"Lincoln Financial Field, Philadelphia",2026-06-27,17:00,17,2026-06-27 17:00:00,2026-06-27T21:00:00Z,0,0,0,2,1
537407,Colombia vs Portugal,Colombia,Portugal,Group K,"Hard Rock Stadium, Miami Gardens",2026-06-27,19:30,19,2026-06-27 19:30:00,2026-06-27T23:30:00Z,0,0,0,0,0
537408,Congo DR vs Uzbekistan,Congo DR,Uzbekistan,Group K,"Mercedes-Benz Stadium, Atlanta",2026-06-27,19:30,19,2026-06-27 19:30:00,2026-06-27T23:30:00Z,0,0,0,3,1
537401,Jordan vs Argentina,Jordan,Argentina,Group J,"AT&T Stadium, Arlington (Dallas)",2026-06-27,22:00,22,2026-06-27 22:00:00,2026-06-28T02:00:00Z,0,0,0,1,3
537402,Algeria vs Austria,Algeria,Austria,Group J,"Arrowhead Stadium (GEHA Field), Kansas City",2026-06-27,22:00,22,2026-06-27 22:00:00,2026-06-28T02:00:00Z,0,0,0,3,3
537417,South Africa vs Canada,South Africa,Canada,Last 32,"SoFi Stadium, Inglewood (Los Angeles)",2026-06-28,15:00,15,2026-06-28 15:00:00,2026-06-28T19:00:00Z,0,0,0,0,1
537423,Brazil vs Japan,Brazil,Japan,Last 32,"NRG Stadium, Houston",2026-06-29,13:00,13,2026-06-29 13:00:00,2026-06-29T17:00:00Z,0,0,0,2,1
537415,Germany vs Paraguay,Germany,Paraguay,Last 32,"Gillette Stadium, Foxborough (Boston)",2026-06-29,16:30,16,2026-06-29 16:30:00,2026-06-29T20:30:00Z,0,0,0,4,5
537418,Netherlands vs Morocco,Netherlands,Morocco,Last 32,"Estadio BBVA, Guadalupe (Monterrey)",2026-06-29,21:00,21,2026-06-29 21:00:00,2026-06-30T01:00:00Z,0,0,0,3,4
537424,Ivory Coast vs Norway,Ivory Coast,Norway,Last 32,"AT&T Stadium, Arlington (Dallas)",2026-06-30,13:00,13,2026-06-30 13:00:00,2026-06-30T17:00:00Z,0,0,0,1,2
537416,France vs Sweden,France,Sweden,Last 32,"MetLife Stadium, East Rutherford (New York/New Jersey)",2026-06-30,17:00,17,2026-06-30 17:00:00,2026-06-30T21:00:00Z,0,1,0,3,0
537425,Mexico vs Ecuador,Mexico,Ecuador,Last 32,"Estadio Azteca (Estadio Banorte), Mexico City",2026-06-30,22:00,22,2026-06-30 22:00:00,2026-07-01T02:00:00Z,0,0,0,2,0
537426,England vs Congo DR,England,Congo DR,Last 32,"Mercedes-Benz Stadium, Atlanta",2026-07-01,12:00,12,2026-07-01 12:00:00,2026-07-01T16:00:00Z,0,0,0,2,1
537422,Belgium vs Senegal,Belgium,Senegal,Last 32,"Lumen Field, Seattle",2026-07-01,16:00,16,2026-07-01 16:00:00,2026-07-01T20:00:00Z,0,0,0,3,2
537421,United States vs Bosnia-Herzegovina,United States,Bosnia-Herzegovina,Last 32,"Levi's Stadium, Santa Clara (SF Bay Area)",2026-07-01,20:00,20,2026-07-01 20:00:00,2026-07-02T00:00:00Z,0,0,1,2,0
537420,Spain vs Austria,Spain,Austria,Last 32,"SoFi Stadium, Inglewood (Los Angeles)",2026-07-02,15:00,15,2026-07-02 15:00:00,2026-07-02T19:00:00Z,0,0,0,3,0
537419,Portugal vs Croatia,Portugal,Croatia,Last 32,"BMO Field, Toronto",2026-07-02,19:00,19,2026-07-02 19:00:00,2026-07-02T23:00:00Z,0,0,0,2,1
537429,Switzerland vs Algeria,Switzerland,Algeria,Last 32,"BC Place, Vancouver",2026-07-02,23:00,23,2026-07-02 23:00:00,2026-07-03T03:00:00Z,0,0,0,2,0
537428,Australia vs Egypt,Australia,Egypt,Last 32,"AT&T Stadium, Arlington (Dallas)",2026-07-03,14:00,14,2026-07-03 14:00:00,2026-07-03T18:00:00Z,0,0,0,3,5
537427,Argentina vs Cape Verde Islands,Argentina,Cape Verde Islands,Last 32,"Hard Rock Stadium, Miami Gardens",2026-07-03,18:00,18,2026-07-03 18:00:00,2026-07-03T22:00:00Z,0,0,0,3,2
537430,Colombia vs Ghana,Colombia,Ghana,Last 32,"Arrowhead Stadium (GEHA Field), Kansas City",2026-07-03,21:30,21,2026-07-03 21:30:00,2026-07-04T01:30:00Z,0,0,0,1,0
537376,Canada vs Morocco,Canada,Morocco,Last 16,"NRG Stadium, Houston",2026-07-04,13:00,13,2026-07-04 13:00:00,2026-07-04T17:00:00Z,1,0,0,0,3
537375,Paraguay vs France,Paraguay,France,Last 16,"Lincoln Financial Field, Philadelphia",2026-07-04,17:00,17,2026-07-04 17:00:00,2026-07-04T21:00:00Z,1,0,0,0,1
537377,Brazil vs Norway,Brazil,Norway,Last 16,"MetLife Stadium, East Rutherford (New York/New Jersey)",2026-07-05,16:00,16,2026-07-05 16:00:00,2026-07-05T20:00:00Z,1,1,0,1,2
537378,Mexico vs England,Mexico,England,Last 16,"Estadio Azteca (Estadio Banorte), Mexico City",2026-07-05,21:00,21,2026-07-05 21:00:00,2026-07-06T01:00:00Z,1,0,0,2,3
537379,Portugal vs Spain,Portugal,Spain,Last 16,"AT&T Stadium, Arlington (Dallas)",2026-07-06,15:00,15,2026-07-06 15:00:00,2026-07-06T19:00:00Z,1,0,0,0,1
537380,United States vs Belgium,United States,Belgium,Last 16,"Lumen Field, Seattle",2026-07-06,20:00,20,2026-07-06 20:00:00,2026-07-07T00:00:00Z,1,0,1,1,4
537381,Argentina vs Egypt,Argentina,Egypt,Last 16,"Mercedes-Benz Stadium, Atlanta",2026-07-07,12:00,12,2026-07-07 12:00:00,2026-07-07T16:00:00Z,1,0,0,3,2
537382,Switzerland vs Colombia,Switzerland,Colombia,Last 16,"BC Place, Vancouver",2026-07-07,16:00,16,2026-07-07 16:00:00,2026-07-07T20:00:00Z,1,0,0,4,3
537383,France vs Morocco,France,Morocco,Quarter Finals,"Gillette Stadium, Foxborough (Boston)",2026-07-09,16:00,16,2026-07-09 16:00:00,2026-07-09T20:00:00Z,1,0,0,2,0
537384,Spain vs Belgium,Spain,Belgium,Quarter Finals,"SoFi Stadium, Inglewood (Los Angeles)",2026-07-10,15:00,15,2026-07-10 15:00:00,2026-07-10T19:00:00Z,1,0,0,2,1
537385,Norway vs England,Norway,England,Quarter Finals,"Hard Rock Stadium, Miami Gardens",2026-07-11,17:00,17,2026-07-11 17:00:00,2026-07-11T21:00:00Z,1,0,0,1,2
537386,Argentina vs Switzerland,Argentina,Switzerland,Quarter Finals,"Arrowhead Stadium (GEHA Field), Kansas City",2026-07-11,21:00,21,2026-07-11 21:00:00,2026-07-12T01:00:00Z,1,0,0,3,1
537387,France vs Spain,France,Spain,Semi Finals,"AT&T Stadium, Arlington (Dallas)",2026-07-14,15:00,15,2026-07-14 15:00:00,2026-07-14T19:00:00Z,1,0,0,0,2
537388,England vs Argentina,England,Argentina,Semi Finals,"Mercedes-Benz Stadium, Atlanta",2026-07-15,15:00,15,2026-07-15 15:00:00,2026-07-15T19:00:00Z,1,0,0,1,2
537389,France vs England,France,England,Third Place,"Hard Rock Stadium, Miami Gardens",2026-07-18,17:00,17,2026-07-18 17:00:00,2026-07-18T21:00:00Z,1,0,0,4,6
537390,Spain vs Argentina,Spain,Argentina,Final,"MetLife Stadium, East Rutherford (New York/New Jersey)",2026-07-19,15:00,15,2026-07-19 15:00:00,2026-07-19T19:00:00Z,1,1,0,1,0
