source_element_key,blockface,side,capacity,area,subarea,category,time_limit_min,lat,lng
11766,MERCER ST BETWEEN 1ST AVE N AND WARREN AVE N,S,4,Uptown,,Paid Parking,240,47.62449467,-122.3547637
57077,MERCER ST BETWEEN 3RD AVE N AND 4TH AVE N,N,14,Uptown,,Paid Parking,240,47.62465764,-122.35019179
121340,MERCER ST BETWEEN MERCER SR ST AND MINOR AVE N,S,2,South Lake Union,South,Paid Parking,600,47.62422099,-122.33342324
79785,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,4,South Lake Union,South,Restricted Parking Zone,120,47.62431963,-122.33239874
79786,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,6,South Lake Union,South,Restricted Parking Zone,120,47.62421002,-122.33237992
11785,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,N,8,South Lake Union,South,Restricted Parking Zone,120,47.62432312,-122.33106904
11786,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,7,South Lake Union,South,Restricted Parking Zone,120,47.6242189,-122.33108562
79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,7,Uptown,,Paid Parking,120,47.62450385,-122.35605718
11770,MERCER ST BETWEEN WARREN AVE N AND 2ND AVE N,S,9,Uptown,,Paid Parking,240,47.62448372,-122.35347203
79789,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,N,5,South Lake Union,South,Restricted Parking Zone,120,47.62432634,-122.32982852
79790,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,8,South Lake Union,South,Restricted Parking Zone,120,47.62423318,-122.32980982
57193,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,SW,7,Denny Triangle,North,Paid Parking,240,47.61717718,-122.33125717
57194,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,NE,6,Denny Triangle,North,Paid Parking,240,47.61726292,-122.3311435
57190,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,NE,5,First Hill,,Paid Parking,120,47.60734463,-122.32168833
11873,MINOR AVE BETWEEN MADISON ST AND SPRING ST,SW,3,First Hill,,Paid Parking,120,47.61015018,-122.32444208
11874,MINOR AVE BETWEEN MADISON ST AND SPRING ST,NE,5,First Hill,,Restricted Parking Zone,120,47.61021335,-122.32429488
11869,MINOR AVE BETWEEN MARION ST AND MADISON ST,SW,5,First Hill,,Paid Parking,120,47.60941799,-122.32377268
11870,MINOR AVE BETWEEN MARION ST AND MADISON ST,NE,4,First Hill,,Paid Parking,120,47.60948806,-122.32361273
79890,MINOR AVE BETWEEN OLIVE WAY AND HOWELL ST,NE,8,Denny Triangle,North,Paid Parking,240,47.61645359,-122.33001488
11878,MINOR AVE BETWEEN PIKE ST AND PINE ST,NE,8,Pike-Pine,,Paid Parking,120,47.61459874,-122.32832119
79881,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,8,First Hill,,Restricted Parking Zone,120,47.61157561,-122.32573646
79882,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,4,First Hill,,Paid Parking,120,47.61163327,-122.32559852
34481,MINOR AVE BETWEEN SPRING ST AND SENECA ST,SW,6,First Hill,,Restricted Parking Zone,120,47.61084359,-122.32507405
34482,MINOR AVE BETWEEN SPRING ST AND SENECA ST,NE,9,First Hill,,Restricted Parking Zone,120,47.61091012,-122.32492277
79885,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,7,First Hill,,Restricted Parking Zone,120,47.61240712,-122.32652887
79886,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,NE,8,First Hill,,Restricted Parking Zone,120,47.61247157,-122.3263733
11881,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,W,7,South Lake Union,South,Paid Parking,600,47.61911051,-122.33309008
11882,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,E,13,South Lake Union,South,Restricted Parking Zone,120,47.61908923,-122.33286288
34509,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,14,South Lake Union,South,Paid Parking,600,47.62256499,-122.33309802
34510,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,11,South Lake Union,South,Paid Parking,600,47.62251773,-122.33288283
34501,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,W,7,South Lake Union,South,Paid Parking,600,47.62023889,-122.33308446
34502,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,E,6,South Lake Union,South,Paid Parking,600,47.62025858,-122.33287778
57197,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,7,South Lake Union,South,Paid Parking,600,47.62371398,-122.33310076
57198,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,South Lake Union,South,Paid Parking,600,47.6237063,-122.33290607
34505,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,13,South Lake Union,South,Paid Parking,600,47.62139739,-122.33309119
34506,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,E,29,South Lake Union,South,Restricted Parking Zone,120,47.62139794,-122.33288439
34518,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,E,10,South Lake Union,North,Paid Parking,600,47.6264104,-122.33247238
37821,N 35TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,N,13,Fremont,,Paid Parking,120,47.65073976,-122.35083983
37822,N 35TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,S,7,Fremont,,Paid Parking,120,47.65058479,-122.35074352
83242,N 36TH ST BETWEEN FREMONT PL N AND FREMONT AVE N,S,10,Fremont,,Paid Parking,120,47.65135825,-122.35054548
57269,NAGLE PL BETWEEN E HOWELL ST AND E DENNY WAY,W,5,Capitol Hill,South,Paid Parking,240,47.6181567,-122.32012756
84641,NE 40TH ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,N,6,University District,Core,Paid Parking,120,47.65541883,-122.31390998
39293,NE 40TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,4,University District,Core,Paid Parking,120,47.65540467,-122.31272946
39329,NE 41ST ST BETWEEN 11TH AVE NE AND 12TH AVE NE,N,6,University District,Edge,Paid Parking,240,47.65693475,-122.31611873
39330,NE 41ST ST BETWEEN 11TH AVE NE AND 12TH AVE NE,S,8,University District,Edge,Paid Parking,240,47.65680039,-122.31611823
39333,NE 41ST ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,N,7,University District,Core,Paid Parking,120,47.65692384,-122.31498874
39334,NE 41ST ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,S,7,University District,Core,Paid Parking,120,47.65679087,-122.31499025
84653,NE 41ST ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,N,6,University District,Core,Paid Parking,120,47.65689586,-122.31380852
84654,NE 41ST ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,S,4,University District,Core,Paid Parking,120,47.65679238,-122.31386787
39337,NE 41ST ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,5,University District,Core,Paid Parking,120,47.65688956,-122.31264593
39338,NE 41ST ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,S,5,University District,Core,Paid Parking,120,47.65677165,-122.31264522
62009,NE 42ND ST BETWEEN 11TH AVE NE AND 12TH AVE NE,N,6,University District,Edge,Paid Parking,240,47.65838487,-122.31608883
