osm_id,name,lat,lon,poi_type,borough_query
airbnb/31555,Luminous Beautiful West Village Studio,40.73405,-74.00281,airbnb,Airbnb-NYC
airbnb/31994,Room with En Suite Bathroom & Deck,40.68818,-73.96383,airbnb,Airbnb-NYC
airbnb/189181,Room in Chic Modern High Line Luxury- New!,40.74907,-74.00281,airbnb,Airbnb-NYC
airbnb/189787,Spacious & Comfy BK Brownstone,40.66941,-73.94988,airbnb,Airbnb-NYC
airbnb/190968,Lovely Brooklyn Brownstone 1BR!,40.67914,-73.96443,airbnb,Airbnb-NYC
airbnb/190974,Beautiful Grdn. Apt. in Park Slope,40.66836,-73.98166,airbnb,Airbnb-NYC
airbnb/191541,contemporary design in times sq,40.75876,-73.98869,airbnb,Airbnb-NYC
airbnb/191610,Presence Guest Room - Chelsea NYC,40.74697296939259,-74.00178397023312,airbnb,Airbnb-NYC
airbnb/195123,"Cheerful, comfortable room",40.83338,-73.94326,airbnb,Airbnb-NYC
airbnb/195240,Covid Clean since '11!,40.65468,-73.95721,airbnb,Airbnb-NYC
airbnb/302758,Sunny 1BR East Harlem Apartment,40.79675,-73.93634,airbnb,Airbnb-NYC
airbnb/303264,FABULOUS & LARGE 2 BEDROOM IN NYC!,40.8073,-73.94575,airbnb,Airbnb-NYC
airbnb/305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,40.80557,-73.94801,airbnb,Airbnb-NYC
airbnb/306799,Heart of Bushwick 2 rooms and private bath,40.70674,-73.91959,airbnb,Airbnb-NYC
airbnb/310325,Large Sunny Bedroom with Bay Window,40.82359,-73.94601,airbnb,Airbnb-NYC
airbnb/310338,Harlem/Hamilton Heights Sunny Room,40.82295,-73.94433,airbnb,Airbnb-NYC
airbnb/310524,Clinton Hill Duplex near Pratt w/Huge Patio!,40.69533,-73.96058,airbnb,Airbnb-NYC
airbnb/33009,Retreat in Williamsburg,40.71512,-73.95899,airbnb,Airbnb-NYC
airbnb/36647,"1 Bedroom & your own Bathroom, Elevator Apartment",40.79245376586914,-73.94074249267578,airbnb,Airbnb-NYC
airbnb/38663,Luxury Brownstone in Boerum Hill,40.68442,-73.98068,airbnb,Airbnb-NYC
airbnb/312415,Cool! Your Own Times Square Room!,40.75672,-73.99003,airbnb,Airbnb-NYC
airbnb/314982,Share in NYC's trendy East Village,40.73216,-73.98678,airbnb,Airbnb-NYC
airbnb/318021,Room in Huge 1200sf W Harlem Suite,40.80272,-73.95316,airbnb,Airbnb-NYC
airbnb/320877,Entire 2 Bedroom Apartment in Williamsburg,40.71075,-73.95773,airbnb,Airbnb-NYC
airbnb/321014,Big Bright E Village 2BR (Baby Nursery),40.73231,-73.98469,airbnb,Airbnb-NYC
airbnb/321136,Private Studio Near NY-Presbyterian Hospital,40.83249,-73.94466,airbnb,Airbnb-NYC
airbnb/322037,"Luxury Williamsburg, Brooklyn LOFT",40.71923,-73.9582,airbnb,Airbnb-NYC
airbnb/323706,Elegant Spacious Family Townhouse,40.77961,-73.98293,airbnb,Airbnb-NYC
airbnb/195989,"Sunny, Large, Park Slope Bedroom",40.6767158,-73.9818207,airbnb,Airbnb-NYC
airbnb/198744,Sun-Drenched Lincoln Center Studio,40.78096,-73.98808,airbnb,Airbnb-NYC
airbnb/199733,Solo Travelers Private Garden XL Studio,40.67635,-73.96108,airbnb,Airbnb-NYC
airbnb/201992,Serene Park Slope Garden Apartment,40.67466,-73.97853,airbnb,Airbnb-NYC
airbnb/202273,Cozy and spacious - rare for NYC!,40.68702,-73.94917,airbnb,Airbnb-NYC
airbnb/203901,Beautiful UES apartment,40.76922,-73.95648,airbnb,Airbnb-NYC
airbnb/204065,St. James Place 1.5-2bdrm 1block to PRATT & Gtrain,40.687,-73.96149,airbnb,Airbnb-NYC
airbnb/39282,Cozy “Indie Rock”Room in the Heart of Williamsburg,40.71065139770508,-73.95087432861328,airbnb,Airbnb-NYC
airbnb/39704,"Private, Large & Sunny 1BR w/W&D",40.68216,-73.94594,airbnb,Airbnb-NYC
airbnb/325429,Upper East 1 BDRM Great Location!,40.77534,-73.95106,airbnb,Airbnb-NYC
airbnb/328040,"Awesome views, Central location",40.74838,-73.98214,airbnb,Airbnb-NYC
airbnb/332208,Greenpoint & Cats - Summer 2026 (Aug 5-Sept 2),40.72617,-73.95264,airbnb,Airbnb-NYC
airbnb/333323,Cozy bedroom near Times Square,40.76269,-73.99361,airbnb,Airbnb-NYC
airbnb/334607,Artist's Flat in Historic Building #10263,40.71529,-73.96032,airbnb,Airbnb-NYC
airbnb/342995,Unique private room and bathroom in Brownstone,40.81319,-73.94194,airbnb,Airbnb-NYC
airbnb/343276,Large Private Midtown Room!,40.75622,-73.99455,airbnb,Airbnb-NYC
airbnb/42300,Beautiful Lower East Side Loft,40.71992,-73.99167,airbnb,Airbnb-NYC
airbnb/205485,Ideal Brooklyn Brownstone Apartment,40.68339,-73.94034,airbnb,Airbnb-NYC
airbnb/206316,"Sunny, Spacious Studio in Ft.Greene",40.6878,-73.97253,airbnb,Airbnb-NYC
airbnb/206957,Bright Modern Charming Housebarge,40.5847,-73.94088,airbnb,Airbnb-NYC
airbnb/208148,Central Bedford Avenue Apartment,40.71955,-73.95471,airbnb,Airbnb-NYC
airbnb/212544,Quiet One Bedroom in Park Slope,40.67828,-73.98414,airbnb,Airbnb-NYC
