osm_id,name,lat,lon,poi_type,borough_query
node/2768451022,Pisticci,40.8141743,-73.9603481,restaurant,Manhattan
node/2768451052,The Expat,40.8154613,-73.9600115,bar,Manhattan
node/2796448525,Community Food & Juice,40.8059481,-73.9657438,restaurant,Manhattan
node/2848586054,Moon Kee,40.7972702,-73.9695337,restaurant,Manhattan
node/2939154801,Cafe 82,40.785812,-73.9781778,restaurant,Manhattan
node/2965399205,Chinese BBQ 东方烧烤,40.8423972,-74.0010693,restaurant,Manhattan
node/3248774672,Viand Cafe,40.7807958,-73.9810743,restaurant,Manhattan
node/3248774697,La Pecora Bianca,40.7804446,-73.9763391,restaurant,Manhattan
node/3374115188,Osteria 106,40.7989278,-73.9616882,restaurant,Manhattan
node/3491267497,Little Italy Pizza,40.7918929,-73.9734655,restaurant,Manhattan
node/3810105599,Son Cubano,40.7812997,-74.0055049,restaurant,Manhattan
node/4157970366,The Wallace,40.7818628,-73.9818912,hotel,Manhattan
node/4487461845,Sushi W,40.7983688,-73.9694092,restaurant,Manhattan
node/4619360051,Arthouse Hotel,40.7821637,-73.9803866,hotel,Manhattan
node/4629887666,Linwood Pizza,40.8613057,-73.9702633,restaurant,Manhattan
node/4775572071,Jin Ramen,40.7853423,-73.9769585,restaurant,Manhattan
node/4946370275,Rumba Cubana Restaurant & Bar,40.7912545,-74.0009105,restaurant,Manhattan
node/5285124522,Flaming’s Prime Steakhouse & Wine,40.8059593,-73.9873449,restaurant,Manhattan
node/5285124823,The Original Pancake House,40.8072224,-73.989782,restaurant,Manhattan
node/5285133322,Baumgart’s Cafe,40.8062375,-73.9873021,restaurant,Manhattan
node/5285133323,Greek Taverna,40.8063203,-73.9874491,restaurant,Manhattan
node/5285138721,Bareburger,40.8061349,-73.9880365,restaurant,Manhattan
node/5399779853,Naruto Ramen,40.7969719,-73.9697524,restaurant,Manhattan
node/5400480690,Craft & Carry,40.7854795,-73.9768599,bar,Manhattan
node/5400495619,Suma Sushi,40.8014191,-73.9652121,restaurant,Manhattan
node/5400497580,Bellini,40.7846115,-73.9733118,restaurant,Manhattan
node/5686427721,Strokos Deli,40.805466,-73.9622848,restaurant,Manhattan
node/5740858021,The Granola Bar,40.7880284,-73.9745068,restaurant,Manhattan
node/5741364421,George Keeley,40.785875,-73.976089,bar,Manhattan
node/5857708822,Cheesy Pizza,40.7972108,-73.9695811,restaurant,Manhattan
node/5978745721,Himalayan Curry House,40.8026396,-73.9671313,restaurant,Manhattan
node/5978745723,Picnic by The Black Parrot,40.8004252,-73.9652605,restaurant,Manhattan
node/5984378186,The Heights Bar & Grill,40.805184,-73.9664024,restaurant,Manhattan
node/5984450685,Amelie Wine Bar,40.7887162,-73.9744949,restaurant,Manhattan
node/6167135402,Mama Chicken,40.8472522,-73.9981584,restaurant,Manhattan
node/6167135403,Bunsiknara,40.8473298,-73.9981335,restaurant,Manhattan
node/6167135407,Bomul Island,40.8477383,-73.9977588,restaurant,Manhattan
node/6167135408,Chinese Restaurant,40.8478609,-73.9976918,restaurant,Manhattan
node/6167330319,La Esquina Chapina,40.8433639,-74.0013836,restaurant,Manhattan
node/6167330327,Abiko Curry,40.844282,-74.0003061,restaurant,Manhattan
node/6167330335,Tofu & Noodles,40.8453713,-73.9999413,restaurant,Manhattan
node/6167330336,,40.8454289,-73.9998868,restaurant,Manhattan
node/6167330343,Cap Udon,40.8457093,-73.999265,restaurant,Manhattan
node/6167330345,Tospia,40.8460184,-73.9994827,restaurant,Manhattan
node/6171872892,Boss,40.8462578,-73.9994425,bar,Manhattan
node/6171872900,So Moon Nan Jip,40.8465876,-73.9985759,restaurant,Manhattan
node/6171872901,Crown,40.8469147,-73.9988134,restaurant,Manhattan
node/6171872964,Pizzamaru,40.8485502,-73.9971542,restaurant,Manhattan
node/6171872966,Catering House/Dumpling House,40.8486847,-73.9971028,restaurant,Manhattan
node/6171872978,Totowah,40.849447,-73.9970527,restaurant,Manhattan
node/6171873491,Donna's,40.849964,-73.9961382,restaurant,Manhattan
node/6606909410,Prohibition,40.7852443,-73.9728265,bar,Manhattan
node/6606935746,Blossom on Columbus,40.7853903,-73.9727245,restaurant,Manhattan
node/6644248562,Bella Luna Restaurant,40.7877722,-73.9714975,restaurant,Manhattan
node/6815431436,Jacob's Pickles,40.7911792,-73.969073,restaurant,Manhattan
node/6816455651,The Hamilton,40.8027402,-73.9642554,bar,Manhattan
node/6943588586,Rose's Italian Deli,40.8062215,-74.0099536,restaurant,Manhattan
node/6969716317,Thyme & Tonic,40.7844564,-73.9739015,restaurant,Manhattan
node/6969716318,Tridim West,40.7841086,-73.9736584,restaurant,Manhattan
node/7003610135,Symposium,40.8055157,-73.9642686,restaurant,Manhattan
node/7004346066,Arts & Crafts Beer Parlor,40.8065783,-73.9609934,bar,Manhattan
node/7004354698,Haji's Famous Deli,40.8064186,-73.961107,restaurant,Manhattan
node/7004392888,Wu + Nussbaum,40.8060976,-73.9656359,restaurant,Manhattan
node/7012052492,The Original Ray's Pizza Restaurant,40.7841453,-73.9741189,restaurant,Manhattan
node/7040362186,Anar,40.8002094,-73.9656338,restaurant,Manhattan
node/7041983091,Living Thai,40.8000987,-73.9657163,restaurant,Manhattan
node/7159068915,Nobody Told Me,40.8008066,-73.9651977,bar,Manhattan
node/7159068916,Tropical Sensation,40.8008723,-73.9651512,restaurant,Manhattan
node/7159068917,Awash,40.800689,-73.9652812,restaurant,Manhattan
node/7159151800,Raenu Thai,40.7975001,-73.9680762,restaurant,Manhattan
node/7159193384,The Throwback,40.7931377,-73.9712655,bar,Manhattan
node/7159217185,Dive Bar,40.7939248,-73.9707003,bar,Manhattan
node/7159234141,Miyako,40.7911097,-73.9727374,restaurant,Manhattan
node/7159496528,Indian Tanpura,40.7886183,-73.97456,restaurant,Manhattan
node/7159516092,Gyu-Kaku,40.7904105,-73.9732592,restaurant,Manhattan
node/7161597623,Kitaro Sushi,40.7868795,-73.9758248,restaurant,Manhattan
node/7161597627,Flor de Mayo,40.7860372,-73.9764478,restaurant,Manhattan
node/7192228723,Luke's Lobster,40.7841802,-73.9778051,restaurant,Manhattan
node/7192228727,Caledonia Bar,40.7841195,-73.9778588,restaurant,Manhattan
node/7192228729,The Gin Mill,40.7847131,-73.9774249,bar,Manhattan
node/7194269383,The Wolfe,40.7839718,-73.9774769,pub,Manhattan
node/7194269384,Momoya,40.7840363,-73.9774282,restaurant,Manhattan
node/7194308188,Jake's Dilemma,40.7843285,-73.977698,bar,Manhattan
node/7418114253,Senn Thai Comfort Food,40.7850269,-73.9771886,restaurant,Manhattan
node/7418118988,Land Thai Kitchen,40.784963,-73.9772434,restaurant,Manhattan
node/7418121964,The Dead Poet,40.7849421,-73.9772607,pub,Manhattan
node/7657200159,Perfect Picnic,40.7944156,-73.9628889,restaurant,Manhattan
node/8064363282,Rome,40.8612794,-73.9880309,restaurant,Manhattan
node/8064363283,Nakahara,40.8612567,-73.9880531,restaurant,Manhattan
node/8064384986,China Taste,40.8612216,-73.9880732,restaurant,Manhattan
node/8073300004,,40.8618402,-73.9883619,restaurant,Manhattan
node/8150030341,Fudgarten,40.8499363,-73.9683495,restaurant,Manhattan
node/8168395026,bb.q Chicken,40.8453636,-73.9785636,restaurant,Manhattan
node/8260453144,Frank's Pizza at Shadyside,40.8098285,-73.9901976,restaurant,Manhattan
node/8260463722,Rebecca's,40.8089668,-73.9909253,restaurant,Manhattan
node/8260474180,Pa De Thai Restaurant,40.8094852,-73.9904903,restaurant,Manhattan
node/8260474228,Cafe Archetypus,40.8095461,-73.9904412,restaurant,Manhattan
node/8260705161,Food for Life,40.8096706,-73.9903383,restaurant,Manhattan
node/8260705162,Porto by Antonio,40.804925,-73.993408,restaurant,Manhattan
node/8438585854,Dive 106,40.8007289,-73.9657309,bar,Manhattan
node/8514846272,The Gyro Project,40.8563646,-73.9680411,restaurant,Manhattan
node/8514846276,Pumkin Blossom Bistro,40.8564463,-73.9674939,restaurant,Manhattan
node/8514846279,Pho Today,40.8563859,-73.9673062,restaurant,Manhattan
node/8530362368,Pho 32,40.8465107,-73.9991347,restaurant,Manhattan
node/8530362373,Shaburo,40.8477081,-73.9848379,restaurant,Manhattan
node/8530362374,Menya Sandaime,40.8492007,-73.9844064,restaurant,Manhattan
node/8530362375,Yamyam Chicken,40.8497293,-73.9844387,restaurant,Manhattan
node/8530362376,Pelicana Chicken,40.8412743,-73.9882388,restaurant,Manhattan
node/8541844957,Brownstone Pancake Factory,40.8247073,-73.9752685,restaurant,Manhattan
node/8541930262,Blackbeard Ramen,40.8243522,-73.9876881,restaurant,Manhattan
node/8542012539,Doña Antonia,40.7942467,-74.0048554,restaurant,Manhattan
node/8542062389,Punta Cana,40.8557621,-73.9676989,restaurant,Manhattan
