station_id,name,borough,lat,lng
345,"Crown Hts-Utica Av (3,4)",Brooklyn,40.668896,-73.932945
366,Parkchester (6),Bronx,40.833225,-73.86082
618,"14 St/8 Av (A,C,E,L)",Manhattan,40.740334,-74.00214
375,Cypress Av (6),Bronx,40.805367,-73.91404
82,"104 St (J,Z)",Queens,40.69518,-73.84433
423,"Allerton Av (2,5)",Bronx,40.865463,-73.867355
TRAM2,RI Tramway (Roosevelt),Manhattan,40.75734,-73.95412
291,Clinton-Washington Avs (G),Brooklyn,40.688087,-73.96684
432,"Prospect Av (2,5)",Bronx,40.819584,-73.90177
398,77 St (6),Manhattan,40.77362,-73.95988
299,Dyckman St (1),Manhattan,40.86053,-73.92554
363,Westchester Sq-E Tremont Av (6),Bronx,40.839893,-73.84295
436,Harlem-148 St (3),Manhattan,40.82388,-73.93647
201,"Beach 98 St (A,S)",Queens,40.585308,-73.82056
206,Beach 44 St (A),Queens,40.59294,-73.77602
387,170 St (4),Bronx,40.840076,-73.91779
378,Woodlawn (4),Bronx,40.886036,-73.87875
422,"Burke Av (2,5)",Bronx,40.871357,-73.867165
437,145 St (3),Manhattan,40.82042,-73.93625
456,61 St-Woodside (7),Queens,40.74563,-73.902985
430,"Simpson St (2,5)",Bronx,40.824074,-73.89307
200,"Beach 90 St (A,S)",Queens,40.588036,-73.813644
414,"Bowling Green (4,5)",Manhattan,40.70482,-74.01407
403,33 St (6),Manhattan,40.746082,-73.98208
601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,40.737797,-73.997734
211,"Bedford Park Blvd (B,D)",Bronx,40.873245,-73.88714
255,169 St (F),Queens,40.71047,-73.7936
502,Tompkinsville (SIR),Staten Island,40.636948,-74.07484
409,Spring St (6),Manhattan,40.7223,-73.99714
365,Castle Hill Av (6),Bronx,40.834255,-73.85122
346,Sutter Av-Rutland Rd (3),Brooklyn,40.66472,-73.92261
79,86 St (N),Brooklyn,40.59272,-73.97823
224,57 St (M),Manhattan,40.763973,-73.97745
289,Bedford-Nostrand Avs (G),Brooklyn,40.68963,-73.95352
110,Forest Av (M),Queens,40.704422,-73.903076
195,Ozone Park-Lefferts Blvd (A),Queens,40.68595,-73.8258
218,"167 St (B,D)",Bronx,40.83377,-73.91844
293,Van Cortlandt Park-242 St (1),Bronx,40.889248,-73.89858
59,9 Av (D),Brooklyn,40.646294,-73.99432
72,Fort Hamilton Pkwy (N),Brooklyn,40.631386,-74.00535
276,"5 Av/53 St (E,F)",Manhattan,40.760166,-73.97523
8,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335
630,"Myrtle-Wyckoff Avs (M,L)",Brooklyn,40.699623,-73.91199
445,Pelham Pkwy (5),Bronx,40.858986,-73.85536
612,"Lexington Av/51-53 Sts (6,E,F)",Manhattan,40.757328,-73.97049
433,"Jackson Av (2,5)",Bronx,40.81649,-73.90781
129,Halsey St (L),Queens,40.695602,-73.90408
119,1 Av (L),Manhattan,40.730953,-73.98163
453,82 St-Jackson Hts (7),Queens,40.747658,-73.8837
109,Fresh Pond Rd (M),Queens,40.706184,-73.895874
287,Flushing Av (G),Brooklyn,40.70038,-73.95023
236,"Bergen St (F,G)",Brooklyn,40.686146,-73.99086
243,"Church Av (F,G)",Brooklyn,40.64404,-73.979675
369,Elder Av (6),Bronx,40.828583,-73.87916
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343
180,Kingston-Throop Avs (C),Brooklyn,40.67992,-73.94086
39,Bay Ridge-95 St (R),Brooklyn,40.616623,-74.030876
35,"59 St (N,R)",Brooklyn,40.64136,-74.01788
611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,40.755745,-73.98758
425,"Bronx Park East (2,5)",Bronx,40.848827,-73.868454
71,8 Av (N),Brooklyn,40.635063,-74.01172
199,"Broad Channel (A,S)",Queens,40.608383,-73.815926
349,Junius St (3),Brooklyn,40.663513,-73.90245
305,137 St-City College (1),Manhattan,40.822006,-73.953674
449,111 St (7),Queens,40.75173,-73.85533
417,"Nereid Av (2,5)",Bronx,40.89838,-73.85438
476,86 St (Q),Manhattan,40.77789,-73.95179
307,116 St-Columbia University (1),Manhattan,40.80772,-73.96411
28,Union St (R),Brooklyn,40.677315,-73.98311
217,"170 St (B,D)",Bronx,40.839306,-73.9134
160,"72 St (C,B)",Manhattan,40.775593,-73.97641
272,"36 St (M,R)",Queens,40.75204,-73.92878
617,"Atlantic Av-Barclays Ctr (2,3,4,5,B,D,N,Q,R)",Brooklyn,40.684162,-73.97779
610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,40.75199,-73.977356
145,190 St (A),Manhattan,40.85902,-73.93418
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,40.840294,-73.88005
376,Brook Av (6),Bronx,40.807568,-73.91924
404,28 St (6),Manhattan,40.74307,-73.98426
308,Cathedral Pkwy (110 St) (1),Manhattan,40.803967,-73.96685
30,Prospect Av (R),Brooklyn,40.665413,-73.992874
273,"Queens Plaza (E,F,R)",Queens,40.748974,-73.93724
284,Nassau Av (G),Brooklyn,40.724636,-73.95128
56,Ocean Pkwy (Q),Brooklyn,40.576313,-73.9685
4,"Broadway (N,W)",Queens,40.76182,-73.92551
159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972145
78,Avenue U (N),Brooklyn,40.597473,-73.97913
297,215 St (1),Manhattan,40.869446,-73.915276
379,Mosholu Pkwy (4),Bronx,40.87975,-73.88466
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,40.74964,-73.987885
126,Jefferson St (L),Brooklyn,40.706608,-73.92291
47,"Newkirk Plaza (B,Q)",Brooklyn,40.635082,-73.96279
441,"110 St-Malcolm X Plaza (2,3)",Manhattan,40.799076,-73.95182
204,Beach 67 St (A),Queens,40.590927,-73.79692
157,"96 St (C,B)",Manhattan,40.79164,-73.9647
347,Saratoga Av (3),Brooklyn,40.661453,-73.91633
629,"Metropolitan Av/Lorimer St (G,L)",Brooklyn,40.71343,-73.95084
254,Jamaica-179 St (F),Queens,40.712646,-73.78381
26,"DeKalb Av (B,Q,R)",Brooklyn,40.690636,-73.98183
614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,40.768272,-73.981834
181,"Utica Av (A,C)",Brooklyn,40.679363,-73.93073
241,"15 St-Prospect Park (F,G)",Brooklyn,40.660366,-73.97949
251,Avenue U (F),Brooklyn,40.59606,-73.97336
628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,40.71009,-74.007835
334,"Clark St (2,3)",Brooklyn,40.697468,-73.99309
143,Inwood-207 St (A),Manhattan,40.868073,-73.9199
53,Neck Rd (Q),Brooklyn,40.595245,-73.95516
319,28 St (1),Manhattan,40.747215,-73.99336
188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.87211
6,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755
189,Grant Av (A),Brooklyn,40.677044,-73.86505
49,Avenue J (Q),Brooklyn,40.62504,-73.9608
440,"116 St (2,3)",Manhattan,40.802097,-73.94962
292,Fulton St (G),Brooklyn,40.68712,-73.97537
306,125 St (1),Manhattan,40.815582,-73.958374
394,110 St (6),Manhattan,40.79502,-73.94425
220,"155 St (B,D)",Manhattan,40.830135,-73.93821
52,Avenue U (Q),Brooklyn,40.5993,-73.95593
395,103 St (6),Manhattan,40.7906,-73.94748
448,Mets-Willets Point (7),Queens,40.754623,-73.84563
1,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203
257,Sutphin Blvd (F),Queens,40.70546,-73.81071
304,145 St (1),Manhattan,40.82655,-73.95036
185,Liberty Av (C),Brooklyn,40.67454,-73.896545
396,96 St (6),Manhattan,40.78567,-73.95107
69,25 Av (D),Brooklyn,40.597706,-73.98683
153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235
339,"Bergen St (2,3)",Brooklyn,40.68083,-73.9751
242,"Fort Hamilton Pkwy (F,G)",Brooklyn,40.650784,-73.97578
208,Beach 25 St (A),Queens,40.600067,-73.76135
266,"Elmhurst Av (M,R)",Queens,40.742455,-73.88202
42,"Prospect Park (B,Q,S)",Brooklyn,40.661613,-73.96225
216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013
367,St Lawrence Av (6),Bronx,40.83151,-73.867615
418,"233 St (2,5)",Bronx,40.893192,-73.857475
471,34 St-Hudson Yards (7),Manhattan,40.755882,-74.00191
96,Kosciuszko St (J),Brooklyn,40.69334,-73.92882
194,111 St (A),Queens,40.68433,-73.83216
38,86 St (R),Brooklyn,40.62269,-74.0284
13,"28 St (R,W)",Manhattan,40.745495,-73.98869
249,Avenue P (F),Brooklyn,40.608944,-73.97302
135,Livonia Av (L),Brooklyn,40.66404,-73.90057
94,Halsey St (J),Brooklyn,40.68637,-73.91656
197,Aqueduct-N Conduit Av (A),Queens,40.668236,-73.83406
443,Baychester Av (5),Bronx,40.878662,-73.83859
137,East 105 St (L),Brooklyn,40.650574,-73.89948
162,"50 St (C,E)",Manhattan,40.762455,-73.985985
91,"Alabama Av (J,Z)",Brooklyn,40.67699,-73.89865
33,45 St (R),Brooklyn,40.648937,-74.01001
136,New Lots Av (L),Brooklyn,40.658733,-73.89923
108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896
391,"138 St-Grand Concourse (4,5)",Bronx,40.813225,-73.92985
176,Lafayette Av (C),Brooklyn,40.68611,-73.973946
383,183 St (4),Bronx,40.858406,-73.90388
70,Bay 50 St (D),Brooklyn,40.58884,-73.983765
141,Park Pl (S),Brooklyn,40.67477,-73.95763
615,"62 St/New Utrecht Av (D,N)",Brooklyn,40.625656,-73.99663
446,Morris Park (5),Bronx,40.854362,-73.8605
399,68 St-Hunter College (6),Manhattan,40.768143,-73.96387
202,"Beach 105 St (A,S)",Queens,40.58321,-73.82756
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,40.671986,-73.96438
321,18 St (1),Manhattan,40.74104,-73.99787
377,3 Av-138 St (6),Bronx,40.810474,-73.92614
464,Vernon Blvd-Jackson Av (7),Queens,40.742626,-73.95358
133,Atlantic Av (L),Brooklyn,40.675346,-73.9031
405,23 St-Baruch College (6),Manhattan,40.739864,-73.9866
76,Bay Pkwy (N),Brooklyn,40.611816,-73.98185
85,"75 St-Elderts Ln (J,Z)",Queens,40.691322,-73.86714
623,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,40.7187,-74.00058
156,"103 St (C,B)",Manhattan,40.796093,-73.96146
260,"75 Av (E,F)",Queens,40.71833,-73.837326
138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185
67,20 Av (D),Brooklyn,40.604557,-73.99817
320,23 St (1),Manhattan,40.74408,-73.99566
421,"Gun Hill Rd (2,5)",Bronx,40.87785,-73.86626
98,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124
3,"30 Av (N,W)",Queens,40.76678,-73.92148
57,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576126,-73.97594
263,"63 Dr-Rego Park (M,R)",Queens,40.729847,-73.8616
431,"Intervale Av (2,5)",Bronx,40.82218,-73.896736
114,Central Av (M),Brooklyn,40.697857,-73.9274
309,103 St (1),Manhattan,40.799446,-73.968376
283,Greenpoint Av (G),Brooklyn,40.731354,-73.95445
127,DeKalb Av (L),Brooklyn,40.70381,-73.91843
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,40.758663,-73.98133
459,40 St-Lowery St (7),Queens,40.743782,-73.92402
118,3 Av (L),Manhattan,40.73285,-73.98612
147,175 St (A),Manhattan,40.84739,-73.939705
452,90 St-Elmhurst Av (7),Queens,40.74841,-73.87661
214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074
150,155 St (C),Manhattan,40.830517,-73.94151
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000496
382,Fordham Rd (4),Bronx,40.862804,-73.90103
58,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577423,-73.98123
357,"Beverly Rd (2,5)",Brooklyn,40.6451,-73.94896
90,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685
314,66 St-Lincoln Center (1),Manhattan,40.77344,-73.98221
388,167 St (4),Bronx,40.835537,-73.9214
384,Burnside Av (4),Bronx,40.853455,-73.907684
434,"3 Av-149 St (2,5)",Bronx,40.81611,-73.917755
86,Cypress Hills (J),Brooklyn,40.68994,-73.87255
605,"168 St-Washington Hts (1,A,C)",Manhattan,40.840637,-73.93985
393,116 St (6),Manhattan,40.79863,-73.94162
294,238 St (1),Bronx,40.884666,-73.90087
55,"Brighton Beach (B,Q)",Brooklyn,40.57762,-73.96137
198,Howard Beach-JFK Airport (A),Queens,40.660477,-73.8303
134,Sutter Av (L),Brooklyn,40.66937,-73.90198
606,"Court Sq-23 St (7,E,F,G)",Queens,40.747143,-73.94503
439,"125 St (2,3)",Manhattan,40.807755,-73.945496
625,"Delancey St-Essex St (F,M,J,Z)",Manhattan,40.718464,-73.98778
205,Beach 60 St (A),Queens,40.592373,-73.78852
392,"125 St (4,5,6)",Manhattan,40.80414,-73.93759
362,Middletown Rd (6),Bronx,40.843864,-73.83632
151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214
344,Kingston Av (3),Brooklyn,40.6694,-73.94216
182,Ralph Av (C),Brooklyn,40.67882,-73.920784
609,"42 St-Bryant Pk/5 Av (7,B,D,F,M)",Manhattan,40.75402,-73.98327
212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.89351
364,Zerega Av (6),Bronx,40.836487,-73.84704
253,Neptune Av (F),Brooklyn,40.581013,-73.97457
245,18 Av (F),Brooklyn,40.629753,-73.976974
130,Wilson Av (L),Brooklyn,40.688763,-73.904045
326,Franklin St (1),Manhattan,40.71932,-74.00689
329,Rector St (1),Manhattan,40.70751,-74.01379
32,"36 St (D,N,R)",Brooklyn,40.655144,-74.00355
187,Shepherd Av (C),Brooklyn,40.67413,-73.88075
177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836
107,"Broad St (J,Z)",Manhattan,40.706474,-74.011055
355,"Winthrop St (2,5)",Brooklyn,40.65665,-73.9502
477,72 St (Q),Manhattan,40.7688,-73.95843
183,Rockaway Av (C),Brooklyn,40.67834,-73.91195
269,"Northern Blvd (M,R)",Queens,40.752884,-73.906006
318,"34 St-Penn Station (1,2,3)",Manhattan,40.750374,-73.99106
250,Kings Hwy (F),Brooklyn,40.603218,-73.97236
604,"161 St-Yankee Stadium (4,B,D)",Bronx,40.82795,-73.92574
310,"96 St (1,2,3)",Manhattan,40.79392,-73.97232
123,Grand St (L),Brooklyn,40.711926,-73.94067
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,40.670513,-73.95869
22,"Rector St (R,W)",Manhattan,40.70722,-74.01334
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985
627,"Franklin Av (C,S)",Brooklyn,40.68099,-73.95634
186,Van Siclen Av (C),Brooklyn,40.67271,-73.89036
419,"225 St (2,5)",Bronx,40.888023,-73.860344
608,"4 Av-9 St (F,G,R)",Brooklyn,40.67056,-73.989044
424,"Pelham Pkwy (2,5)",Bronx,40.857193,-73.867615
616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,40.746746,-73.891365
457,52 St (7),Queens,40.74415,-73.91255
207,Beach 36 St (A),Queens,40.595398,-73.76817
5,"36 Av (N,W)",Queens,40.756805,-73.92957
122,Graham Av (L),Brooklyn,40.714565,-73.94405
83,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158
622,"Brooklyn Bridge-City Hall/Chambers St (4,5,6,J,Z)",Manhattan,40.713154,-74.00377
2,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785
380,Bedford Park Blvd-Lehman College (4),Bronx,40.873413,-73.89006
190,80 St (A),Queens,40.67937,-73.85899
244,Ditmas Av (F),Brooklyn,40.63612,-73.97817
101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756
10,"49 St (N,R,W)",Manhattan,40.7599,-73.98414
619,"Broadway-Lafayette St/Bleecker St (6,B,D,F,M)",Manhattan,40.725605,-73.99543
179,"Nostrand Av (A,C)",Brooklyn,40.68044,-73.950424
81,111 St (J),Queens,40.69742,-73.83634
428,"174 St (2,5)",Bronx,40.837288,-73.88773
451,Junction Blvd (7),Queens,40.749146,-73.86953
372,Longwood Av (6),Bronx,40.816105,-73.89644
374,E 143 St-St Mary's St (6),Bronx,40.80872,-73.90765
323,Christopher St-Stonewall (1),Manhattan,40.73342,-74.00291
44,"Church Av (B,Q)",Brooklyn,40.650528,-73.96298
51,"Kings Hwy (B,Q)",Brooklyn,40.60867,-73.95773
97,"Myrtle Av (M,J,Z)",Brooklyn,40.69721,-73.93565
413,"Wall St (4,5)",Manhattan,40.707558,-74.01186
193,104 St (A),Queens,40.68171,-73.837685
155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816
278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,40.70215,-73.80111
