id,lat,lon
4487,34.06211,-118.44692
4490,34.05355,-118.25584
4491,34.04744,-118.24794
4492,34.03687,-118.4255
4493,34.09028,-118.27719
4494,34.07598,-118.25601
4509,34.10164,-118.30917
4510,34.07735,-118.26455
4511,34.05628,-118.23177
4512,34.04381,-118.26497
4514,34.04621,-118.45117
4515,34.03974,-118.44227
4517,34.10196,-118.33885
4518,34.05797,-118.29975
4521,33.99032,-118.41205
4523,34.06875,-118.30928
4524,34.06163,-118.30119
4525,34.10038,-118.3418
4526,34.10338,-118.34919
4527,34.102,-118.33741
4528,34.06097,-118.44437
4529,34.10186,-118.33329
4534,34.10186,-118.32811
4536,33.98908,-118.46226
4537,34.09823,-118.33882
4538,34.06543,-118.30882
4540,34.04776,-118.22541
4543,33.95718,-118.45125
4544,33.92846,-118.4352
4545,33.95879,-118.44828
4546,34.0314,-118.45363
4547,33.9897,-118.44888
4548,34.02683,-118.39352
4549,34.02245,-118.43833
4552,33.99097,-118.4213
4553,33.99958,-118.44136
4554,34.00351,-118.43438
4555,34.00587,-118.42916
4556,34.00902,-118.42501
4557,34.0118,-118.41944
4558,34.02569,-118.3953
4559,34.02228,-118.41583
4561,34.02006,-118.42268
4562,34.02697,-118.42821
4563,34.01745,-118.40957
4564,34.03535,-118.43414
4565,33.98995,-118.43467
4566,34.02339,-118.39922
4567,34.02018,-118.40403
4568,34.02912,-118.40317
4569,34.02655,-118.40846
4570,34.01376,-118.4178
4571,34.02765,-118.41356
4572,34.02948,-118.41047
4573,34.03047,-118.42098
4575,34.00031,-118.40253
4576,34.02258,-118.40551
4577,33.99302,-118.41491
4578,34.04298,-118.25295
4579,33.98486,-118.43113
4580,33.98293,-118.41083
4581,33.97024,-118.42607
4582,33.98099,-118.41488
4583,33.97619,-118.41842
4584,34.09435,-118.32636
4587,34.06079,-118.30907
4592,34.04872,-118.26073
4595,34.16835,-118.3875
4596,34.16833,-118.39616
4597,34.16522,-118.35515
4598,34.16552,-118.37515
4599,34.16875,-118.36187
4600,34.17765,-118.38231
4601,34.16171,-118.37282
4602,34.17248,-118.37042
4603,34.15214,-118.36195
4604,34.15832,-118.37081
4605,34.152,-118.3506
4606,34.16863,-118.37707
4613,34.06975,-118.44535
4614,34.07365,-118.43984
4627,34.10185,-118.32514
4628,34.05978,-118.28854
4632,33.98667,-118.44095
4634,34.04724,-118.21976
4643,34.07262,-118.44944
4644,34.06186,-118.45002
4645,34.02341,-118.42901
4652,34.02705,-118.48518
4660,33.99724,-118.44673
4664,34.05516,-118.30899
4667,34.08394,-118.36103
4672,34.04502,-118.25319
4680,34.04352,-118.25509
4689,34.02385,-118.42607
4690,34.17245,-118.37037
