id,name,freeway,direction,type,lanes,city,county,abs_pm,lat,lon
766646,RTE 71 / GAREY AVE 2,60,E,FR,1,58072,37,29.651,34.023534,-117.745774
766660,DIAMOND BAR,60,E,HV,1,19192,37,25.841,34.024192,-117.809808
766661,DIAMOND BAR,60,E,ML,4,19192,37,25.841,34.024192,-117.809808
766662,DIAMOND BAR,60,E,OR,1,19192,37,25.841,34.024192,-117.809808
766663,DIAMOND BAR,60,E,FR,2,19192,37,25.841,34.024192,-117.809808
766673,RIO RANCHO,71,N,ML,2,58072,37,3.684,34.035347,-117.761863
766674,RIO RANCHO,71,N,OR,1,58072,37,3.684,34.035347,-117.761863
766685,RIO RANCHO,71,S,ML,2,58072,37,4.139,34.028771,-117.755133
766686,RIO RANCHO,71,S,OR,1,58072,37,4.139,34.028771,-117.755133
766694,SAND CANYON,14,N,ML,2,44000,37,8.663,34.425605,-118.422402
766695,SAND CANYON,14,N,OR,1,44000,37,8.663,34.425605,-118.422402
766696,SAND CANYON,14,S,FR,1,44000,37,8.663,34.425778,-118.422478
766703,SAND CANYON,14,S,ML,2,44000,37,8.463,34.424397,-118.425567
766704,SAND CANYON,14,S,OR,1,44000,37,8.463,34.424397,-118.425567
766705,SAND CANYON,14,N,FR,1,44000,37,8.463,34.424238,-118.425484
766712,SOLEDAD CANYON RD,14,S,ML,3,44000,37,10.663,34.433995,-118.38947
766713,SOLEDAD CANYON RD,14,S,OR,1,44000,37,10.663,34.433995,-118.38947
766714,SOLEDAD CANYON RD,14,N,FR,1,44000,37,10.663,34.433794,-118.389445
766721,SOLEDAD CANYON RD,14,N,ML,2,44000,37,11.163,34.434709,-118.380974
766722,SOLEDAD CANYON RD,14,N,OR,1,44000,37,11.163,34.434709,-118.380974
766723,SOLEDAD CANYON RD,14,S,FR,1,44000,37,11.163,34.434913,-118.381027
766730,AGUA DULCE CANYON RD,14,S,ML,2,44000,37,14.763,34.466425,-118.334293
766731,AGUA DULCE CANYON RD,14,S,OR,1,44000,37,14.763,34.466425,-118.334293
766732,AGUA DULCE CANYON RD,14,N,FR,1,44000,37,14.763,34.466232,-118.33427
766740,AGUA DULCE CANYON RD,14,N,ML,3,44000,37,15.163,34.466671,-118.327283
766741,AGUA DULCE CANYON RD,14,N,OR,1,44000,37,15.163,34.466671,-118.327283
766742,AGUA DULCE CANYON RD,14,S,FR,1,44000,37,15.163,34.46681,-118.327298
766749,ESCONDIDO CANYON RD,14,S,ML,2,,37,18.163,34.488826,-118.286572
766750,ESCONDIDO CANYON RD,14,S,OR,1,,37,18.163,34.488826,-118.286572
766751,ESCONDIDO CANYON RD,14,N,FR,1,,37,18.163,34.48864,-118.286438
766758,ESCONDIDO CANYON RD,14,N,ML,3,,37,18.663,34.493332,-118.280287
766759,ESCONDIDO CANYON RD,14,N,OR,1,,37,18.663,34.493332,-118.280287
766760,ESCONDIDO CANYON RD,14,S,FR,1,,37,18.663,34.493576,-118.280482
766788,DIAMOND BAR,60,W,ML,4,19192,37,25.851,34.024472,-117.809793
766789,DIAMOND BAR,60,W,HV,1,19192,37,25.851,34.024472,-117.809793
766790,DIAMOND BAR,60,W,OR,1,19192,37,25.851,34.024472,-117.809793
766791,DIAMOND BAR,60,W,FR,2,19192,37,25.851,34.024472,-117.809793
766806,GRAND AVE,60,E,ML,6,19192,37,24.653,34.010718,-117.82259
766807,GRAND AVE,60,E,OR,1,19192,37,24.653,34.010718,-117.82259
766808,GRAND AVE,60,E,FR,2,19192,37,24.653,34.010718,-117.82259
766829,RESERVOIR,60,W,HV,1,58072,37,30.335,34.025041,-117.73416
766842,RESERVOIR,60,E,FR,2,58072,37,30.512,34.024861,-117.730929
766843,RESERVOIR,60,E,ML,4,58072,37,30.512,34.024861,-117.730929
766844,RESERVOIR,60,E,HV,1,58072,37,30.512,34.024861,-117.730929
766851,ROSECRANS 1,605,N,ML,4,52526,37,8.902,33.902407,-118.105114
766852,ROSECRANS 1,605,N,HV,1,52526,37,8.902,33.902407,-118.105114
766857,SEPULVEDA NB,105,W,FR,2,44000,37,0.6,33.931618,-118.394435
766859,SEPULVEDA SB,105,W,FR,1,44000,37,0.59,33.931619,-118.394609
766861,SEPULVEDA SB,105,W,OR,1,44000,37,0.6,33.931618,-118.394435
766867,NB 405 TO WB 105,105,W,FF,2,44000,37,1.8,33.93015,-118.373771
766868,SB 405 TO WB 105,105,W,FF,1,44000,37,1.79,33.930157,-118.373945
766871,EB 105 TO NB 405,105,E,FF,1,44000,37,1.8,33.929816,-118.373757
766872,EB 105 TO SB 405,105,E,FF,1,44000,37,1.79,33.929821,-118.373931
766873,IMPERIAL 1,105,W,HV,1,44000,37,1.8,33.93015,-118.373771
766874,W/B 105 TO AVIATION,105,W,FR,1,44000,37,1.8,33.93015,-118.373771
766875,DOUGLAS,105,E,ML,1,44000,37,1.3,33.931058,-118.382272
766922,ARROW  EB,605,N,OR,1,36826,37,26.004,34.114761,-117.977832
766925,605 SB TO ARROW EB,605,S,FR,1,36826,37,26.014,34.11502,-117.977954
766927,NB 5 TO WB 10,5,N,FF,2,44000,37,132.763,34.027763,-118.210714
766928,NB 5 TO NB 101,5,N,FF,2,44000,37,132.773,34.027834,-118.21087
766936,VALLEY 2,605,S,HV,1,,37,21.349,34.052932,-118.005202
766937,VALLEY 2,605,S,ML,4,,37,21.349,34.052932,-118.005202
766947,CONCORD,5,S,OR,1,44000,37,132.34,34.025109,-118.20517
766950,CONCORD,5,N,FR,1,44000,37,132.403,34.025295,-118.205056
766952,SKIRBALL/MULHOLLAND,405,S,HV,1,44000,37,60.322,34.120834,-118.480151
766954,BEL AIR CR,405,S,HV,1,44000,37,59.572,34.110424,-118.481702
766956,SUNSET WB / CHURCH,405,S,HV,1,44000,37,56.812,34.073269,-118.467097
766958,WASHINGTON 2,5,S,FR,1,14974,37,128.34,33.9977,-118.146913
766961,AGUA DULCE CANYON RD,14,N,HV,1,44000,37,15.163,34.466671,-118.327283
766963,AGUA DULCE CANYON RD,14,S,HV,1,44000,37,14.763,34.466425,-118.334293
766965,ESCONDIDO CANYON RD,14,N,HV,1,,37,18.663,34.493332,-118.280287
766967,SOLEDAD CANYON RD,14,N,HV,1,44000,37,11.163,34.434709,-118.380974
766969,SAND CANYON,14,N,HV,1,44000,37,8.663,34.425605,-118.422402
